Data item No.,Section,Sub-section,Data Item Name,Data Item Description,Value domain,Link to existing definition,Notes from GD/JCIS,"[Optional]
Local identifier",Location,Column1,"A: How is the data
item collected","B. How is the data item stored, within the centre?","C. How would you describe 
the existing coverage?","D. How would you describe 
the existing quality?","E. How hard would it be 
to achieve a score of 1 
for Parts A to D? "
9 : Not Known
",NEOADJUVANT THERAPY INDICATOR,,CR1000,MDT + COPA,,1,1,1,1,1
NHIC_CAN_136,CORE,CANCER RECURRENCE / SECONDARY CANCER,SOURCE OF REFERRAL FOR CANCER RECURRENCE,"(Recurrences only.)
This identifies the source of referral for a recurrence of cancer.  ","Initiated by the CONSULTANT responsible for the Consultant Out-Patient Episode
01 : following an emergency admission 
02 : following a Domiciliary Consultation  
10 : following an Accident And Emergency Attendance (including Minor Injuries Units and Walk In Centres)  
11 : other - initiated by the CONSULTANT responsible for the Consultant Out-Patient Episode 
Not initiated by the CONSULTANT responsible for the Consultant Out-Patient Episode  
03 : referral from a GENERAL MEDICAL PRACTITIONER 
92 : referral from a GENERAL DENTAL PRACTITIONER
12 :  referral from a GENERAL PRACTITIONER with a Special Interest (GPwSI) or dentist with a Special Interest (DwSI)
04 : referral from an Accident And Emergency Department (including Minor Injuries Units and Walk In Centres) 
05 : referral from a CONSULTANT, other than in an Accident And Emergency Department  
06 : self-referral 
07 : referral from a Prosthetist  
13 : referral from a Specialist NURSE (Secondary Care) 
14 : referral from an Allied Health Professional 
15 : referral from an OPTOMETRIST  
16 : referral from an Orthoptist  
17 : referral from a National Screening Programme  
93 : referral from a Community Dental Service 
97 : other - not initiated by the CONSULTANT responsible for the Consultant Out-Patient Episode  
",SOURCE OF REFERRAL (CANCER RECURRENCE),,CR0300,,,4,4,4,4,4
NHIC_CAN_137,CORE,CANCER RECURRENCE / SECONDARY CANCER,KEY WORKER SEEN INDICATOR (CANCER RECURRENCE),"Record whether the patient was seen by a designated key worker who was neither the  clinical nurse specialist nor a palliative care specialist for a recurrence of cancer.
","Y : Yes
N : No
9 : Not Known
",KEY WORKER SEEN INDICATOR (CANCER RECURRENCE),"A 'Yes' value may be calculable, but in an involved way.  A 'No' value is not calculable (absence of data would imply 'Not known').",CR1540,CTIS,please confirm ,1,1,1,1,1
NHIC_CAN_138,CORE,CANCER RECURRENCE / SECONDARY CANCER,PALLIATIVE CARE SPECIALIST SEEN INDICATOR (CANCER RECURRENCE),Record whether the patient was seen by a palliative care specialist. This would be a member of the specialist palliative care team led by a consultant in palliative medicine for a recurrence of cancer. ,"Y : Yes
N : No
9 : Not Known
",PALLIATIVE CARE SPECIALIST SEEN INDICATOR (CANCER RECURRENCE),Will use 'Date referred' within a date range to determine linkage to cancer recurrence referral.,CR1550,CTIS,please confirm ,1,1,1,1,1
NHIC_CAN_139,CORE,DEATH DETAILS,PERSON DEATH DATE,The date on which a PERSON died or is officially deemed to have died.,"
",PERSON DEATH DATE,Imported,CR1270,CTIS,,1,1,1,1,1
NHIC_CAN_140,CORE,DEATH DETAILS,DEATH LOCATION TYPE,The type of LOCATION at which a PERSON died.,"1 : Hospital
2 : NHS hospice / specialist palliative care unit
3 : Voluntary hospice / specialist palliative care unit
4 : PATIENT's own home
5 : Care Home
6 : Other
",DEATH LOCATION TYPE,Imported,CR1280,Avail. with difficulty,,1,1,1,1,1
NHIC_CAN_141,GYNAECOLOGY,RISK FACTORS,DATE HEIGHT MEASURED,Date the patient's height was measured.,"
",OBSERVATION DATE (HEIGHT),,NHIC0007_GYN,Patient's notes,,1,1,1,1,1
NHIC_CAN_142,GYNAECOLOGY,RISK FACTORS,PERSON HEIGHT IN METRES,"Height of the patient, in metres to 2 decimal
places (n.nn). ","
",PERSON HEIGHT IN METRES,,NHIC0008_GYN,Patient's notes,,1,1,1,1,1
NHIC_CAN_143,GYNAECOLOGY,RISK FACTORS,DATE WEIGHT MEASURED,Date the patient's weight was measured. ,"
",OBSERVATION DATE (WEIGHT),,NHIC0009_GYN,Patient's notes,,1,1,1,1,1
NHIC_CAN_144,GYNAECOLOGY,RISK FACTORS,PERSON OBSERVATION (WEIGHT),"Weight of the patient, in kilograms with up to three decimal places (nnn.nnn). ","
",PERSON WEIGHT,,NHIC00010_GYN,Patient's notes,,1,1,1,1,1
NHIC_CAN_145,GYNAECOLOGY,RISK FACTORS,USE OF ORAL CONTRACEPTIVE,Estimated number of months Oral Contraceptive used.,"0-12 : 
",,,NHIC00013_GYN,N.A.,,4,4,4,4,4
NHIC_CAN_146,GYNAECOLOGY,RISK FACTORS,NUMBER OF PREGNANCIES (GRAVIDITY),Number of Pregnancies,"
",,,NHIC00015_GYN,Patient's notes,,1,1,1,1,1
NHIC_CAN_147,GYNAECOLOGY,RISK FACTORS,NUMBER OF BIRTHS (PARITY),Number of Children.,"
",,,NHIC00016_GYN,Patient's notes,,1,1,1,1,1
NHIC_CAN_148,GYNAECOLOGY,RISK FACTORS,NUMBER OF MONTHS SPENT BREASTFEEDING,Number of months spent breastfeeding.,"
",,,NHIC00017_GYN,unknown,,1,1,1,1,1
NHIC_CAN_149,GYNAECOLOGY,RISK FACTORS,USE OF HORMONE REPLACEMENT THERAPY,Number of months spent taking HRT.,"
",,,NHIC00019_GYN,Patient's notes,,1,1,1,1,1
NHIC_CAN_150,GYNAECOLOGY,RISK FACTORS,SMOKING STATUS,Specify the current smoking status of the patient.,"1 : Current smoker
2 : Ex smoker
3 : Non-smoker - history unknown 
4 : Never smoked
Z : Not Stated (PERSON asked but declined to provide a response)  
9 : Unknown
",SMOKING STATUS CODE,,NHIC00020_GYN,Patient's notes,,1,1,1,1,1
NHIC_CAN_151,GYNAECOLOGY,RISK FACTORS,INTRAUTERINE DEVICE,Estimated number of months Intrauterine Device used.,"0-12 : 
",,,NHIC00027_GYN,Patient's notes,,1,1,1,1,1
NHIC_CAN_152,GYNAECOLOGY,RISK FACTORS,NON-STEROIDAL ANTI-INFLAMMATORY DRUGS,Estimated number of months Non-steroidal anti-inflammatory drugs used.,"0-12 : 
",,,NHIC00028_GYN,unknown,,1,1,1,1,1
NHIC_CAN_153,GYNAECOLOGY,SURGERY & OTHER PROCEDURES,SURGEON GRADE,Grade of senior surgeon present at operation,"S : Subspecialist Gynaecological Oncologist
C : Consultant Gynaecologist (not subspecialist)
F : Sub-Specialty Fellow
A : Associate Specialist / Staff Grade
R : SPR / ST3+
O : SHO / ST1 or ST2 
G : General Surgeon / other surgical specialty
",CARE PROFESSIONAL SENIOR OPERATING SURGEON GRADE (CANCER),Need to check these are up-to-date,GY7000,Avail. with difficulty,,1,1,1,1,1
NHIC_CAN_154,GYNAECOLOGY,SURGERY & OTHER PROCEDURES,RESIDUAL AMOUNT,Score summary - Describes the spread of disease and the extent of residual tumour following ovarian cancer cytoreductive surgery.,"<1cm : Residual disease outcome is < 1cm
>1cm : Residual disease outcome is > 1cm
No Residual : No macroscopic disease
Not Recorded : No score recorded
",,,NHIC00030_GYN,MDT DTB,,1,1,1,1,1
NHIC_CAN_155,GYNAECOLOGY,SURGERY & OTHER PROCEDURES,OCI SCORE,"Actual score out of 22.   11 Sections - 0 points for No Residual, 1 Point for < 1cm, 2 points for > 1cm","0-22 : 
",,,NHIC00031_GYN,MDT DTB,,1,1,1,1,1
NHIC_CAN_156,GYNAECOLOGY,SURGERY & OTHER PROCEDURES,NUMBER COMPLETED,"Number of sections (Central,Right upper,Epigastrium,Left upper,Right flank,Left flank,Right lower,Pelvis,Left lower,Small bowel,Lymphadenopathy) completed by surgeons - out of a maximum 11 sections.","0-11 : 
",,,NHIC00032_GYN,Patient's notes + MDT,,1,1,1,1,1
NHIC_CAN_157,GYNAECOLOGY,STAGING,FINAL FIGO STAGE,"The FIGO stage is generally confirmed at pathology review in MDT meetings following surgery for uterine and vulval malignancies and for ovarian malignancies undergoing primary surgery.  For ovarian malignancies planned to undergo neoadjuvant chemotherapy and for cases of cervical cancer (which is staged clinically), the final FIGO stage is determined at the time of review of clinical findings, imaging, cytology and biopsy histology at the MDT meeting. 
","SEE GYNAE FIGO  FOR SITE SPECIFIC PERMISSIBLE VALUES : 
",FINAL FIGO STAGE,Type of staging needs to be FPT,GY7010,Patient's notes + MDT,,1,1,1,1,1
NHIC_CAN_158,GYNAECOLOGY,PATHOLOGY,INVESTIGATION RESULT DATE,The date on which an investigation was concluded e.g. the date the result was authorised.,"
",INVESTIGATION RESULT DATE,Imported,GY7320,Patient's notes + MDT,,1,1,1,1,1
NHIC_CAN_159,GYNAECOLOGY,PATHOLOGY,SERVICE REPORT IDENTIFIER,A unique identifier of a SERVICE REPORT.,"
",SERVICE REPORT IDENTIFIER,Imported,GY7430,,,4,4,4,4,4
NHIC_CAN_160,GYNAECOLOGY,PATHOLOGY,FALLOPIAN TUBE INVOLVEMENT,"For endometrial and epithelial/ovarian cancers, is there microscopic involvement of fallopian tubes ","1 : Not involved
2 : Right involved
3 : Left involved
4 : Both involved
X : Not assessable
",MICROSCOPIC INVOLVEMENT INDICATION CODE (FALLOPIAN TUBE),Imported,GY7050,PiLive V2,,1,1,1,1,1
NHIC_CAN_161,GYNAECOLOGY,PATHOLOGY,OVARIAN INVOLVEMENT,"For endometrial and fallopian cancers, is there microscopic involvement of ovaries","1 : Not involved
2 : Right involved
3 : Left involved
4 : Both involved
X : Not assessable
",MICROSCOPIC INVOLVEMENT INDICATION CODE (OVARIAN),Imported,GY7120,PiLive V2,,1,1,1,1,1
NHIC_CAN_162,GYNAECOLOGY,PATHOLOGY,SEROSAL INVOLVEMENT,"For endometrial, epithelial/ovarian and fallopian cancers, is there microscopic involvement of uterine serosa","Y : Yes
N : No
X : Not Assessable
",MICROSCOPIC INVOLVEMENT INDICATOR (SEROSA),Imported,GY7130,PiLive V2,,1,1,1,1,1
NHIC_CAN_163,GYNAECOLOGY,PATHOLOGY,OMENTAL INVOLVEMENT,"For endometrium, ovary, fallopian tube and primary peritoneum  cancers, is there involvement of the omentum","1 : Involved - deposit size not specified
2 : Involved - deposit(s)  20mm or less
3 : Involved - deposit(s) greater than 20mm
4 : Not involved
X : Not assessable/Not sent
Greater than 20mm



",OMENTUM INVOLVEMENT INDICATION CODE,Imported,GY7100,PiLive V2,,1,1,1,1,1
NHIC_CAN_164,GYNAECOLOGY,PATHOLOGY,CAPSULE STATUS,Capsule status of ovaries (record the most severe),"1 : Intact
2 : Disrupted
3 : Involved
X : Not assessable
",CAPSULE STATUS,Imported,GY7140,PiLive V2,,1,1,1,1,1
NHIC_CAN_165,GYNAECOLOGY,PATHOLOGY,OVARIAN SURFACE INVOLVEMENT,Is there involvement of the surface of either ovary?,"Y : Yes
N : No
X : Not Assessable
",OVARY SURFACE INVOLVEMENT INDICATOR,Imported,"GY7190
",PiLive V2,,1,1,1,1,1
NHIC_CAN_166,GYNAECOLOGY,PATHOLOGY,TUMOUR GRADE,Specify the grade of the tumour.  For serous tumours specify whether High or Low grade; for all other tumours use three tier grading system,"L : Low
I : Intermediate
H : High
",TUMOUR GRADE (GYNAECOLOGY),Imported,GY7150,PiLive V2,,1,1,1,1,1
NHIC_CAN_167,GYNAECOLOGY,PATHOLOGY,PERITONEAL CYTOLOGY,Result of peritoneal cytology,"1 : Involved
2 : Not involved
3 : Equivocal
X : Not sent
",PERITONEAL CYTOLOGY RESULT CODE,Imported,GY7170,PiLive V2,,1,1,1,1,1
NHIC_CAN_168,GYNAECOLOGY,PATHOLOGY,PERITONEAL INVOLVEMENT,Is there peritoneal involvement?,"Y : Yes
N : No
X : Not assessable / Not sent


",PERITONEAL INVOLVEMENT INDICATOR,Imported,GY7180,PiLive V2,,1,1,1,1,1
NHIC_CAN_169,GYNAECOLOGY,PATHOLOGY,NODAL STATUS CERVICAL CANCER,"FOR CERVICAL CANCERS ONLY.  Only required for surgically staged early FIGO stage cancers.  Histological assessment of regional lymph nodes, including surgical excision or fine needle aspiration. (FIGO staging for cervical cancer is clinical, but nodal status may be an important prognostic factor and determinant of management options including the need for adjuvant therapy)","NX : Regional lymph nodes cannot be assessed
N0 : No regional lymph node metastases
N1 : Regional lymph node metastases
",CERVICAL NODE STATUS,Imported,GY7020,N.A.,,4,4,4,4,4
NHIC_CAN_170,GYNAECOLOGY,PATHOLOGY,NODES EXAMINED NUMBER (PARA-AORTIC),"The number of para-aortic nodes examined.
(Not applicable for vulval cancers) Use 0 if nodes not sent.","
",NUMBER OF NODES EXAMINED (PARA-AORTIC),Imported,GY7060,PiLive V2,,1,1,1,1,1
NHIC_CAN_171,GYNAECOLOGY,PATHOLOGY,NODES POSITIVE NUMBER (PARA-AORTIC),"The number of  para-aortic nodes reported as being positive for the presence of tumour metastases.
(Not applicable for vulval cancers)","
",NUMBER OF NODES POSITIVE (PARA-AORTIC),Imported,GY7080,PiLive V2,,1,1,1,1,1
NHIC_CAN_172,GYNAECOLOGY,PATHOLOGY,NODES EXAMINED NUMBER (PELVIC),The number of pelvic nodes examined (Not applicable for vulval cancers). Use 0 if nodes not sent,"
",NUMBER OF NODES EXAMINED (PELVIC),Imported,GY7070,PiLive V2,,1,1,1,1,1
NHIC_CAN_173,GYNAECOLOGY,PATHOLOGY,NODES POSITIVE NUMBER (PELVIC),"The number of  pelvic nodes reported as being positive for the presence of tumour metastases. 
(Not applicable for vulval cancers)","
",NUMBER OF NODES POSITIVE (PELVIC),Imported,GY7090,PiLive V2,,1,1,1,1,1
NHIC_CAN_174,GYNAECOLOGY,PATHOLOGY,NODES EXAMINED NUMBER (INGUINO-FEMORAL),The number of inguino-femoral nodes examined. (Only applicable to vulval cancers). Use 0 if nodes not sent,"
",NUMBER OF NODES EXAMINED (INGUINO-FEMORAL),Imported,GY7410,PiLive V2,,1,1,1,1,1
NHIC_CAN_175,GYNAECOLOGY,PATHOLOGY,NODES POSITIVE NUMBER (INGUINO-FEMORAL),The number of inguino-femoral nodes reported as being positive for the presence of tumour metastases. (Only applicable to vulval cancers),"
",NUMBER OF NODES POSITIVE (INGUINO-FEMORAL),Imported,GY7420,N.A.,,4,4,4,4,4
NHIC_CAN_176,GYNAECOLOGY,PATHOLOGY,EXTRANODAL  SPREAD,Is there evidence of extranodal spread/extension?,"Y : Yes
N : No
X : Not Assessable
",EXTRANODAL SPREAD INDICATOR,Imported,GY7230,N.A.,,4,4,4,4,4
NHIC_CAN_177,CTYA,REFERRAL,SPECIALTY (REFERRER TO SPECIALIST),The specialty of person referring to Principal Treatment Centre or age specific Specialist TYA MDT.,"Main Speciality Code
",CARE PROFESSIONAL MAIN SPECIALTY CODE (CANCER REFERRAL),,CT6050,N.A.,,4,4,4,4,4
NHIC_CAN_178,CTYA,DIAGNOSIS,PRIMARY DIAGNOSIS SUBSIDIARY COMMENT,"(Optional)
Additional comments on diagnosis where coding is difficult or imprecise. 
(Examples of this would be:
 ""papillary glioneuronal tumour"" or ""angiocentric glioma"" to specify recently described diagnoses which do not have ICD10 or ICD-O-3 coding. 
""anaplastic ependymoma"" 
or 
""ependymoblastoma"" to distinguish between these two diagnoses which may have different treatment decisions or outcomes but which cannot be distinguished in ICD10 or ICD-O-3 coding.)","

",PRIMARY DIAGNOSIS (CANCER COMMENT) ,,CT6060,N.A.,,4,4,4,4,4
NHIC_CAN_179,CTYA,DIAGNOSIS,SECONDARY DIAGNOSIS (ICD),"Optional. 
Types (ICD10 codes) of other significant conditions (e.g. Down Syndrome, NF1, Fanconi anaemia) which may predispose to cancer or influence treatment. Possible multiple entries.","ICD10 : 

",SECONDARY DIAGNOSIS (ICD),,CT6070,Patient's notes,,1,1,1,1,1
NHIC_CAN_180,CTYA,DIAGNOSIS,OTHER SIGNIFICANT DIAGNOSIS SUBSIDIARY COMMENT,"(Optional)
Additional comments on other significant conditions where coding is difficult or imprecise.  (For example ""NF1"" or ""NF2"" to distinguish between these two distinct conditions which may have different treatment decisions or outcomes but cannot be coded separately.)","
",SECONDARY DIAGNOSIS (CANCER COMMENT),,CT6080,N.A.,,4,4,4,4,4
NHIC_CAN_181,CTYA,DIAGNOSIS,FAMILIAL CANCER SYNDROME,Indicate whether there is a possible or confirmed familial cancer syndrome,"Y : Yes
N : No
P : Possible
9 : Not Known
",FAMILIAL CANCER SYNDROME INDICATOR,,CT6090,Patient's notes,,1,1,1,1,1
NHIC_CAN_182,CTYA,DIAGNOSIS,FAMILIAL CANCER SYNDROME SUBSIDIARY COMMENT,"(Optional)
Specifies or describes familial cancer syndrome where Familial Cancer Syndrome is coded as ""Yes"" or ""Possible"". 
(For example ""Li-Fraumeni"", ""Rhabdoid tumour predisposition syndrome"" or ""Biallelic PMS2 mutation""  to identify distinct syndromes which may have different treatment decisions or outcomes but cannot be coded separately.)","
",FAMILIAL CANCER SYNDROME COMMENT,,CT6100,N.A.,,4,4,4,4,4
NHIC_CAN_183,CTYA,DIAGNOSIS,CONSULTANT SPECIALTY (AT DIAGNOSIS),The specialty of the consultant responsible for the patient at the time of diagnosis.,"Main Speciality Code
",CARE PROFESSIONAL MAIN SPECIALTY CODE (DIAGNOSIS),,CT6030,N.A.,,4,4,4,4,4
NHIC_CAN_184,CTYA,DIAGNOSIS,CONSULTANT AGE SPECIALTY (AT DIAGNOSIS),The age group specialty of the consultant responsible for the patient at the time of diagnosis. This will be defined by the MDT.,"P : Paediatric
T : Teenage and Young Adult
A : Adult
",CHILDREN TEENAGERS AND YOUNG ADULTS AGE CATEGORY (CONSULTANT AT DIAGNOSIS),,CT6040,N.A.,,4,4,4,4,4
NHIC_CAN_185,CTYA,CANCER CARE PLAN,MULTIDISCIPLINARY TEAM AGE CATEGORY,Type(s) of MDT where care plan for patient was discussed. Possible multiple entries.,"P : Paediatric
T : Teenage and Young Adult
A : Adult

",CHILDREN TEENAGERS AND YOUNG ADULTS AGE CATEGORY (MULTIDISCIPLINARY TEAM),,CT6110,N.A.,,4,4,4,4,4
NHIC_CAN_186,CTYA,STEM CELL TRANSPLANTATION,STEM CELL INFUSION DATE,Date of stem cell infusion,"
",PROCEDURE DATE (STEM CELL INFUSION),,CT6150,N.A.,,4,4,4,4,4
NHIC_CAN_187,CTYA,STEM CELL TRANSPLANTATION,STEM CELL INFUSION SOURCE,Source of stem cells for infusion,"B : Bone Marrow
P : Peripheral Blood
C : Cord
9 : Not Known
",STEM CELL INFUSION SOURCE CODE,,CT6130,N.A.,,4,4,4,4,4
NHIC_CAN_188,CTYA,STEM CELL TRANSPLANTATION,STEM CELL INFUSION DONOR,Donor for stem cell infusion. ,"1 : Autologous
2 : Allogeneic - Sibling
3 : Allogeneic - Haplo
4 : Allogeneic - Unrelated
9 : Not Known
",STEM CELL INFUSION DONOR TYPE,,CT6140,N.A.,,4,4,4,4,4
NHIC_CAN_189,CTYA,CHEMOTHERAPY,SPECIALTY SUB CODE (CHEMOTHERAPY CONSULTANT),"The age group specialty of the consultant responsible for prescription of chemotherapy. 
","P : Paediatric
T : Teenage and Young Adult
A : Adult Only
",CHILDREN TEENAGERS AND YOUNG ADULTS AGE CATEGORY (CONSULTANT PRESCRIBING CHEMOTHERAPY),,CT6160,N.A.,,4,4,4,4,4
NHIC_CAN_190,CTYA,ACUTE LYMPHOCYTIC LEUKAEMIA and ACUTE MYELOID LEUKAEMIA,EXTRAMEDULLARY DISEASE,Sites of disease identified outside bone marrow,"T : Testes
C : CNS
O : Other
",EXTRAMEDULLARY DISEASE SITE,,CT6210,N.A.,,4,4,4,4,4
NHIC_CAN_191,CTYA,ACUTE LYMPHOCYTIC LEUKAEMIA and ACUTE MYELOID LEUKAEMIA,WHITE BLOOD CELL COUNT (HIGHEST PRE TREATMENT),Highest white blood cell count pre treatment (x 10 to the power of 9  g per litre),"(range 0.0 to 999.9) : 
",WHITE BLOOD CELL COUNT (HIGHEST PRETREATMENT),,CT6220,N.A.,,4,4,4,4,4
NHIC_CAN_192,CTYA,ACUTE LYMPHOCYTIC LEUKAEMIA and ACUTE MYELOID LEUKAEMIA,CYTOGENETIC RISK CODE,Risk allocation based on cytogentic findings.,"F : Favourable
A : Adverse
I : Intermediate
N : No result
O : Other
",CYTOGENETIC RISK CODE (ACUTE LYMPHOCYTIC LEUKAEMIA AND ACUTE MYELOID LEUKAEMIA),,CT6230,N.A.,,4,4,4,4,4
NHIC_CAN_193,CTYA,ACUTE LYMPHOCYTIC LEUKAEMIA and ACUTE MYELOID LEUKAEMIA,CYTOGENETICS SUBSIDIARY COMMENT,"(Optional)
Description of cytogenetic findings.","
",CYTOGENETIC FINDINGS COMMENT ,,CT6240,N.A.,,4,4,4,4,4
NHIC_CAN_194,CTYA,NON HODGKIN LYMPHOMA,MURPHY (ST JUDE) STAGE,"The St. Jude Children's Research Hospital model (Murphy Staging), which separates patients on the basis of limited versus extensive disease. (http://www.cancer.gov/cancertopics/pdq/treatment/child-non-hodgkins/HealthProfessional/page3) 

Stage 1  - disease is limited to a single tumour or to one lymph node group (e.g., neck, axilla, groin, etc.) outside of the abdomen or mediastinum.

Stage 2 - disease is limited to one tumour with local lymph node involvement; or to two or more tumours or lymph node groups on the same side of the diaphragm; or to a completely resected primary tumour of the gastrointestinal tract with/without involvement of local lymph nodes.

Stage 3 - disease includes tumours or lymph node groups involved on both sides of the diaphragm; or any primary intrathoracic tumour (mediastinal, pleural or thymic disease); or extensive NHL within the abdomen; or any paraspinal or epidural tumours.

Stage 4 - disease involves the bone marrow and / or central nervous system (CNS), with/without other sites of involvement. Bone marrow involvement in NHL is defined as >5% - <25% malignant cells in an otherwise normal bone marrow. (> 25% malignant cells in the bone marrow is defined as leukaemia).","1 : Stage 1 
2 : Stage 2
3 : Stage 3
4 : Stage 4
",MURPHY ST JUDES STAGE,,CT6250,N.A.,,4,4,4,4,4
NHIC_CAN_195,CTYA,NON HODGKIN LYMPHOMA,ALK-1 STATUS FOR ALCL , Activin Receptor-like Kinase 1 (ALK-1) is a gene expression protein which distinguishes prognostically important subsets of this diagnosis.,"P : ALK - POSITIVE
N : ALK - NEGATIVE
9 : Not Known
",ALK-1 STATUS,,CT6260,N.A.,,4,4,4,4,4
NHIC_CAN_196,CTYA,HODGKIN LYMPHOMA,ANN ARBOR STAGE,"Staging based on location of detected disease.
l = One region of lymph nodes, or spleen or thymus or Waldeyer's ring enlarged;
II = 2 regions of lymph nodes enlarged, on same side of diaphragm;
III = lymph nodes enlarged on both sides of diaphragm;
IV = disease outside lymph nodes e.g. liver, bone marrow excluding E.                                                ","1 : l = One region of lymph nodes, or spleen or thymus or Waldeyer's ring enlarged
2 : II = 2 regions of lymph nodes enlarged, on same side of diaphragm
3 : III = lymph nodes enlarged on both sides of diaphragm
4 : IV = disease outside lymph nodes e.g. liver, bone marrow excluding E
",ANN ARBOR STAGE,,CT6270,N.A.,,4,4,4,4,4
NHIC_CAN_197,CTYA,HODGKIN LYMPHOMA,ANN ARBOR SYMPTOMS,Additional stage designation based on presence or absence of specific symptoms.,"A : No Symptoms
B : Presence of any of the following: unexplained persistent or recurrent fever (greater than 38C / 101.5F), drenching night sweats, unexplained weight loss of 10% or more within the last 6 months
",ANN ARBOR SYMPTOMS INDICATOR,,CT6280,N.A.,,4,4,4,4,4
NHIC_CAN_198,CTYA,HODGKIN LYMPHOMA,ANN ARBOR EXTRANODALITY,"Additional staging designation based on extranodal involvement. 
Code ""E"" if there is involvement of a single extranodal site that directly adjoins or is next to the known nodal group.","E : E (Extranodal involvement)
",ANN ARBOR EXTRANODALITY INDICATOR,,CT6290,N.A.,,4,4,4,4,4
NHIC_CAN_199,CTYA,NEUROBLASTOMA,INTERNATIONAL NEUROBLASTOMA PATHOLOGIC CLASSIFICATION,"The International Neuroblastoma Pathologic Classification (INPC) system involves evaluation of tumour specimens obtained prior to therapy for the amount of stromal development, the degree of neuroblastic maturation, and the mitosis-karyorrhexis index of the neuroblastic cells. Favourable and unfavourable prognoses are defined on the base of these histologic parameters","F : Favourable
U : Unfavourable
",INTERNATIONAL NEUROBLASTOMA PATHOLOGY CLASSIFICATION CODE,,CT6300,N.A.,,4,4,4,4,4
NHIC_CAN_200,CTYA,NEUROBLASTOMA,CYTOGENETIC RISK CLASSIFICATION (NEUROBLASTOMA),Risk allocation based on cytogentic findings,"F : Favourable
U : Unfavourable
O : Other
X : Non informative
9 : Not Known
",CYTOGENETIC RISK CODE (NEUROBLASTOMA),,CT6310,N.A.,,4,4,4,4,4
NHIC_CAN_201,CTYA,NEUROBLASTOMA,INTERNATIONAL NEUROBLASTOMA STAGING SYSTEM,"International Neuroblastoma Staging System. 
Childrens Oncology Group Neuroblastoma Risk Grouping. http://www.cancer.gov/cancertopics/pdq/treatment/neuroblastoma/HealthProfessional/page3
STAGE 1: Localised tumour with complete gross excision, with or without microscopic residual disease; representative ipsilateral lymph nodes negative for tumour microscopically (nodes attached to and removed
with the primary tumour may be positive).

STAGE 2A
Localised tumour with incomplete gross excision; representative ipsilateral nonadherent lymph nodes negative for tumour microscopically.

STAGE 2B
Localised tumour with or without complete gross excision, with ipsilateral nonadherent lymph nodes positive for tumour. Enlarged contralateral lymph nodes must be negative microscopically.

STAGE 3
Unresectable unilateral tumour infiltrating across the midline, with or without regional lymph node involvement; or localised unilateral tumour with contralateral regional lymph node involvement; or midline tumour with bilateral extension by infiltration (unresectable) or by lymph node involvement. The midline is defined as the vertebral column. Tumours originating on 1 side and crossing the midline must infiltrate to or beyond the opposite side of the vertebral column.

STAGE 4
Any primary tumour with dissemination to distant lymph nodes, bone, bone marrow, liver, skin, and/or other Organs (except as defined for
stage 4S).

STAGE 4S
Localised primary tumour (as defined for stage 1, 2A, or 2B), with dissemination limited to skin, liver, and/or bone marrow (limited to infants younger than 1 year). Marrow involvement should be minimal (<10% of total nucleated cells identified as malignant by bone biopsy or by bone marrow aspirate). More extensive bone marrow  involvement would be considered to be stage 4 disease. The results of the MIBG scan (if performed) should be negative for disease in the bone marrow.","1 : Stage 1

2A : Stage 2A

2B : Stage 2B

3 : Stage 3

4 : Stage 4

4S : Stage 4S

",INTERNATIONAL NEUROBLASTOMA STAGING SYSTEM STAGE,,CT6320,N.A.,,4,4,4,4,4
NHIC_CAN_202,CTYA,RENAL TUMOURS,WILMS TUMOUR STAGE,"Stage is determined by the results of the imaging studies and both the surgical and pathologic findings at nephrectomy. 

Stage 1 - tumour is limited to the kidney and completely resected. 

Stage 2 -  tumour is completely resected, and there is no evidence of tumour at or beyond the margins of resection but the tumour extends beyond the kidney (penetration of capsule, invasion of blood vessels outside renal parenchyma).

Stage 3 - there is residual tumour following surgery that is confined to the abdomen.

Stage 4 - there are distant metastases (lung, liver, bone, brain), or lymph node metastases outside the abdominopelvic region.

Stage 5 -  involvement of both kidneys is present at diagnosis","1 : Stage 1
2 : Stage 2
3 : Stage 3
4 : Stage 4
5 : Stage 5
",WILMS TUMOUR STAGE,,CT6330,N.A.,,4,4,4,4,4
NHIC_CAN_203,CTYA,RENAL TUMOURS,RISK CLASSIFICATION (PATHOLOGICAL) AFTER IMMEDIATE NEPHRECTOMY,"Classification and timing of surgery determine histological risk.

- Favourable histology: non-anaplastic Wilms tumour (all subtypes); cystic partially differentiated nephroblastoma; mesoblastic nephroma; diffuse nephroblastomatosis

- Unfavourable histology: Anaplastic Wilms tumour (focal and diffuse); malignant rhabdoid tumour of kidney; clear cell sarcoma of the kidney; renal cell carcinoma ","F : Favourable
U : Unfavourable
",PATHOLOGICAL RISK CLASSIFICATION CODE (AFTER NEPHRECTOMY),,CT6680,N.A.,,4,4,4,4,4
NHIC_CAN_204,CTYA,RENAL TUMOURS,RISK CLASSIFICATION (PATHOLOGICAL) AFTER PREOPERATIVE CHEMOTHERAPY,"Classification after preoperative chemotherapy determines histological risk:
 Low risk: cystic partially differentiated nephroblastoma; completely necrotic nephroblastoma;mesoblastic nephroma; diffuse nephroblastomatosis

